Entity,Code,Year,Period_life
Germany,DEU,1885,39.44
Germany,DEU,1895,42.38
Germany,DEU,1905,45.45
Germany,DEU,1911,49
Germany,DEU,1915,40.52
Germany,DEU,1925,57.42
Germany,DEU,1935,61.5
Germany,DEU,1946,60.51
Germany,DEU,1950,66.97
Germany,DEU,1951,67.28
Germany,DEU,1952,67.44
Germany,DEU,1953,67.51
Germany,DEU,1954,68.04
Germany,DEU,1955,68.28
Germany,DEU,1956,68.57
Germany,DEU,1957,68.86
Germany,DEU,1958,69.24
Germany,DEU,1959,69.26
Germany,DEU,1960,69.42
Germany,DEU,1961,69.83
Germany,DEU,1962,69.91
Germany,DEU,1963,70.11
Germany,DEU,1964,70.44
Germany,DEU,1965,70.23
Germany,DEU,1966,70.41
Germany,DEU,1967,70.57
Germany,DEU,1968,70.04
Germany,DEU,1969,70.45
Germany,DEU,1970,70.79
Germany,DEU,1971,70.15
Germany,DEU,1972,71.53
Germany,DEU,1973,71.67
Germany,DEU,1974,71.83
Germany,DEU,1975,71.20
Germany,DEU,1976,71.81
Germany,DEU,1977,72.59
Germany,DEU,1978,72.72
Germany,DEU,1979,72.20
Germany,DEU,1980,73.92
Germany,DEU,1981,73.36
Germany,DEU,1982,73.33
Germany,DEU,1983,73.23
Germany,DEU,1984,74.85
Germany,DEU,1985,74.97
Germany,DEU,1986,74.00
Germany,DEU,1987,75.12
Germany,DEU,1988,75.99
Germany,DEU,1989,75.84
Germany,DEU,1990,75.58
Germany,DEU,1991,75.75
Germany,DEU,1992,76.18
Germany,DEU,1993,76.95
Germany,DEU,1994,76.93
Germany,DEU,1995,76.61
Germany,DEU,1996,76.92
Germany,DEU,1997,77.25
Germany,DEU,1998,77.76
Germany,DEU,1999,77.05
Germany,DEU,2000,78.63
Germany,DEU,2001,78.0
Germany,DEU,2002,78.82
Germany,DEU,2003,78.44
Germany,DEU,2004,79.26
Germany,DEU,2005,79.61
Germany,DEU,2006,79.90
Germany,DEU,2007,79.41
Germany,DEU,2008,79.26
Germany,DEU,2009,79.24
Germany,DEU,2010,80.86
Germany,DEU,2011,80.36
Germany,DEU,2012,80.05
Germany,DEU,2013,80.63
Germany,DEU,2014,80.15
Germany,DEU,2015,80.74
Germany,DEU,2016,80.4
Germany,DEU,2017,80.44
Germany,DEU,2018,81.71
Germany,DEU,2019,81.58
Germany,DEU,2020,81.47
Germany,DEU,2021,80.30
Greece,GRC,1877,36.6
Greece,GRC,1882,37.1
Greece,GRC,1887,37.7
Greece,GRC,1892,38.5
Greece,GRC,1897,39.4
Greece,GRC,1902,40.4
Greece,GRC,1907,41.2
Greece,GRC,1920,44.65
Greece,GRC,1922,45.2
Greece,GRC,1927,48.2
Greece,GRC,1928,46.17
Greece,GRC,1929,49.96
Greece,GRC,1932,50.5
Greece,GRC,1937,52.8
Greece,GRC,1940,54.33
Greece,GRC,1950,66.47
Greece,GRC,1951,66.09
Greece,GRC,1952,67.27
Greece,GRC,1953,66.45
Greece,GRC,1954,66.74
Greece,GRC,1955,67.44
Greece,GRC,1956,67.96
Greece,GRC,1957,67.90
Greece,GRC,1958,68.63
Greece,GRC,1959,69.10
Greece,GRC,1960,69.51
Greece,GRC,1961,70.39
Greece,GRC,1962,70.30
Greece,GRC,1963,70.85
Greece,GRC,1964,70.37
Greece,GRC,1965,71.95
Greece,GRC,1966,71.12
Greece,GRC,1967,71.62
Greece,GRC,1968,71.90
Greece,GRC,1969,72.60
Greece,GRC,1970,72.22
Greece,GRC,1971,73.64
Greece,GRC,1972,72.31
Greece,GRC,1973,73.28
Greece,GRC,1974,73.67
Greece,GRC,1975,73.18
Greece,GRC,1976,73.65
Greece,GRC,1977,73.02
Greece,GRC,1978,74.39
Greece,GRC,1979,74.54
Greece,GRC,1980,74.77
Greece,GRC,1981,74.93
Greece,GRC,1982,75.86
Greece,GRC,1983,75.53
Greece,GRC,1984,75.08
Greece,GRC,1985,76.24
Greece,GRC,1986,76.19
Greece,GRC,1987,76.12
Greece,GRC,1988,77.06
Greece,GRC,1989,77.24
Greece,GRC,1990,77.95
Greece,GRC,1991,77.69
Greece,GRC,1992,77.28
Greece,GRC,1993,77.65
Greece,GRC,1994,77.02
Greece,GRC,1995,77.21
Greece,GRC,1996,77.56
Greece,GRC,1997,78.18
Greece,GRC,1998,78.31
Greece,GRC,1999,78.49
Greece,GRC,2000,78.77
Greece,GRC,2001,78.35
Greece,GRC,2002,78.69
Greece,GRC,2003,79.29
Greece,GRC,2004,79.89
Greece,GRC,2005,79.89
Greece,GRC,2006,79.07
Greece,GRC,2007,79.61
Greece,GRC,2008,80.04
Greece,GRC,2009,80.9
Greece,GRC,2010,80.10
Greece,GRC,2011,80.46
Greece,GRC,2012,80.40
Greece,GRC,2013,80.73
Greece,GRC,2014,81.00
Greece,GRC,2015,80.67
Greece,GRC,2016,81.61
Greece,GRC,2017,80.50
Greece,GRC,2018,81.90
Greece,GRC,2019,81.48
Greece,GRC,2020,80.09
Greece,GRC,2021,80.10
United Kingdom,GBR,1543,33.94
United Kingdom,GBR,1548,38.82
United Kingdom,GBR,1553,39.59
United Kingdom,GBR,1558,22.38
United Kingdom,GBR,1563,36.66
United Kingdom,GBR,1568,39.67
United Kingdom,GBR,1573,41.06
United Kingdom,GBR,1578,41.56
United Kingdom,GBR,1583,42.7
United Kingdom,GBR,1588,37.05
United Kingdom,GBR,1593,38.05
United Kingdom,GBR,1598,37.82
United Kingdom,GBR,1603,38.53
United Kingdom,GBR,1608,39.59
United Kingdom,GBR,1613,36.79
United Kingdom,GBR,1618,40.31
United Kingdom,GBR,1623,33.39
United Kingdom,GBR,1628,39.69
United Kingdom,GBR,1633,39.72
United Kingdom,GBR,1638,34.03
United Kingdom,GBR,1643,36.32
United Kingdom,GBR,1648,39.74
United Kingdom,GBR,1653,39.14
United Kingdom,GBR,1658,33.04
United Kingdom,GBR,1663,33.27
United Kingdom,GBR,1668,32.48
United Kingdom,GBR,1673,37.41
United Kingdom,GBR,1678,32.4
United Kingdom,GBR,1683,31.27
United Kingdom,GBR,1688,35.93
United Kingdom,GBR,1693,36.35
United Kingdom,GBR,1698,38.06
United Kingdom,GBR,1703,38.47
United Kingdom,GBR,1708,38.5
United Kingdom,GBR,1713,36.89
United Kingdom,GBR,1718,35.75
United Kingdom,GBR,1723,35.49
United Kingdom,GBR,1728,25.34
United Kingdom,GBR,1733,36.34
United Kingdom,GBR,1738,35.26
United Kingdom,GBR,1743,34.27
United Kingdom,GBR,1748,36.47
United Kingdom,GBR,1753,39.77
United Kingdom,GBR,1758,38.12
United Kingdom,GBR,1763,35.37
United Kingdom,GBR,1768,36.19
United Kingdom,GBR,1773,39.09
United Kingdom,GBR,1778,37.74
United Kingdom,GBR,1783,35.81
United Kingdom,GBR,1788,38.97
United Kingdom,GBR,1793,37.92
United Kingdom,GBR,1798,38.93
United Kingdom,GBR,1803,40.02
United Kingdom,GBR,1808,40.58
United Kingdom,GBR,1813,41.25
United Kingdom,GBR,1818,40.84
United Kingdom,GBR,1823,40.47
United Kingdom,GBR,1828,41.43
United Kingdom,GBR,1833,40.89
United Kingdom,GBR,1838,40.5
United Kingdom,GBR,1843,41.56
United Kingdom,GBR,1844,41.24
